Unique ID,Location,Photo link,LINK,Part No,Description,STORE quantity,,
2026075,62,Picture,https://in.element14.com/multicomp-pro/1n4751a/zener-diode-1w-30v-do-41/dp/2134400?CMP=&mckv=s_dc|pcrid|818671285136|pkw||pmt||slid||product|2134400|pgrid|200293046082|ptaid|pla-336893085308|&CMP=KNC-GIN-GEN-SHOPPING-NCA&gad_source=1&gad_campaignid=24078737272&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-tO2sPCECosK438wV-FDYTCcpii2-zsAn2ykSSUu_VmaRtTZT4kP1xoCA90QAvD_BwE,,ZENER DIODE,0,,
2026076,62,Picture,https://in.element14.com/abl-heatsinks/173ab3000b/heat-sink-0-48-c-w/dp/526915,,Heat sinks big,45,,
2026077,62,Picture,https://in.element14.com/tt-electronics-bi-technologies/p231-qc20ar500k/rotary-potentiometer-500kohm-20/dp/1629584?CMP=&mckv=s_dc|pcrid|818671285136|pkw||pmt||slid||product|1629584|pgrid|200293046082|ptaid|pla-308179390798|&CMP=KNC-GIN-GEN-SHOPPING-NCA&gad_source=1&gad_campaignid=24078737272&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-ruMlN8oAnCnPx-jpIm1gUgPpeY5pW0-EnlpntfMSWL3vymwnCQywRoCDPUQAvD_BwE,,Potentiometer 1M,40,,
2026078,62,,,,Potentiometer 1k,115,,
2026079,62,,,,Potentiometer 100 ohm,5,,
2026080,62,,,,Potentiometer 250ohm,5,,
2026081,62,,,,Potentiometer 2K,3,,
2026082,62,,,,Potentiometer 100K,35,,
2026083,62,,,,Potentiometer 500 ohm,10,,
2026084,62,,,,Potentiometer 5K ohm,67,,
2026085,62,,,,Potentiometer 10K ohm,132,,
2026086,62,,,,Potentiometer 470K ohm,31,,
2026087,62,,,,Potentiometer 22K ohm,1,,
2026088,62,,,,Potentiometer 47K ohm,2,,
2026089,62,,,,3.5mm Jack male,20,,
2026090,62,,,,3.5mm Jack female,12,,
2026091,63,Picture,https://www.flipkart.com/technexa-meanwell-smps-lrs-100-24-240-watts-computer-psu-0-sata-cables/p/itmb4c118d1b0bae?pid=PSUHMZBRY6ZX8DSC&lid=LSTPSUHMZBRY6ZX8DSCPZJRZU&marketplace=FLIPKART&cmpid=content_psu_8965229628_gmc,,smps ,1,,
2026092,63,Picture,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/CFM-5010V-052-300/7620539?msockid=2da3749866b160ea3428606d67d161a6,,CPU fANS,7,,
2026093,63,,,,Pendulum ball big,3,,
2026094,63,,,,Pendulum ball small,6,,
2026095,63,,,,Timing belt pulley,1,,
2026096,63,,,,Hellical shaft,1,,
2026097,63,,,,battery clips,6,,
2026098,63,,,,AA Battery holder *4,10,,
2026099,63,,,,AA Battery holder *2,20,,
2026100,63,Picture,https://www.amazon.in/GI-Bicycle-Dynamo-Generator-12V/dp/B01CTBILWG/ref=asc_df_B01CTBILWG?mcid=5d61fcb035593e01aee512a9e6b164af&tag=googleshopdes-21&linkCode=df0&hvadid=709856082360&hvpos=&hvnetw=g&hvrand=4680236274027060569&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9222932&hvtargid=pla-406360106058&psc=1&hvocijid=4680236274027060569-B01CTBILWG-&hvexpln=0&gad_source=1,,Dynamo for cycle,1,,
2026101,63,Picture,https://robu.in/product/18650-x-2-battery-holder-with-cover-and-on-off-switch/,18650-Holder,Battery Holder - 18650,4,,
2026102,64,Picture,https://www.amazon.in/Piezoelectric-Sensor-Transducer-mm-Pack/dp/B0CVX2VJ7J/ref=asc_df_B0CVX2VJ7J?mcid=a268c6c08d2835d990fbf78bcc58ff38&tag=googleshopdes-21&linkCode=df0&hvadid=709963085501&hvpos=&hvnetw=g&hvrand=1192484383777494375&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9222932&hvtargid=pla-2293927777182&psc=1&hvocijid=1192484383777494375-B0CVX2VJ7J-&hvexpln=0&gad_source=1,,PIEZOELECTRIC SENSOR ARRAY on cardboard,52,,
2026103,64,,,,IP65 box,4,,
